iter	Passed	Remaining
0	1	1348
1	2	1120
2	3	1034
3	3	948
4	4	897
5	5	864
6	6	859
7	6	836
8	7	831
9	7	786
10	8	771
11	9	760
12	9	754
13	10	750
14	11	743
15	12	740
16	12	736
17	13	733
18	14	732
19	14	728
20	15	731
21	17	760
22	17	760
23	18	759
24	19	755
25	20	750
26	20	745
27	21	741
28	21	728
29	22	726
30	23	724
31	23	724
32	24	722
33	25	716
34	25	716
35	26	718
36	27	716
37	28	715
38	28	711
39	29	712
40	30	718
41	31	728
42	32	727
43	33	727
44	34	725
45	34	722
46	35	723
47	36	721
48	37	723
49	38	722
50	38	721
51	39	719
52	40	719
53	41	718
54	41	717
55	42	717
56	43	716
57	44	716
58	44	715
59	45	717
60	46	722
61	47	721
62	48	721
63	49	720
64	49	718
65	50	717
66	51	716
67	52	715
68	52	713
69	53	711
70	54	710
71	55	708
72	55	708
73	56	706
74	57	705
75	57	704
76	58	703
77	59	704
78	60	704
79	61	708
80	62	711
81	63	712
82	64	713
83	65	713
84	66	712
85	66	712
86	67	711
87	68	710
88	69	711
89	70	711
90	71	710
91	71	710
92	72	711
93	73	711
94	74	711
95	75	712
96	76	716
97	77	717
98	78	717
99	79	719
100	80	719
101	81	718
102	82	717
103	83	716
104	83	714
105	84	713
106	85	712
107	86	711
108	86	710
109	87	709
110	88	707
111	89	705
112	89	704
113	90	705
114	91	706
115	92	706
116	93	706
117	94	704
118	94	702
119	95	701
120	96	699
121	97	698
122	97	697
123	98	695
124	99	693
125	99	693
126	100	692
127	101	691
128	102	691
129	103	690
130	103	689
131	104	688
132	105	688
133	106	688
134	107	688
135	108	687
136	108	686
137	109	684
138	110	684
139	111	683
140	111	682
141	112	680
142	113	679
143	114	679
144	115	678
145	115	677
146	116	676
147	117	676
148	118	675
149	118	673
150	119	672
151	120	672
152	121	672
153	122	673
154	123	672
155	124	671
156	124	670
157	125	669
158	126	668
159	127	667
160	127	666
161	128	665
162	129	664
163	130	663
164	130	662
165	131	661
